model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_n_estimators
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,7,150
Random Forest,0.9994505494505495,0.9626373626373628,0.9985294117647058,0.9470588235294117,7,200
Random Forest,0.9994505494505495,0.9626373626373628,0.9985294117647058,0.9411764705882353,7,250
Random Forest,0.9994505494505495,0.964835164835165,0.9985294117647058,0.9411764705882353,7,300
Random Forest,0.9989010989010989,0.9604395604395606,0.9970588235294118,0.9411764705882353,7,350
Random Forest,0.9989010989010989,0.9604395604395606,0.9970588235294118,0.9411764705882353,7,400
Random Forest,0.9989010989010989,0.9582417582417584,0.9970588235294118,0.9352941176470588,7,450
Random Forest,0.9989010989010989,0.9604395604395606,0.9970588235294118,0.9411764705882353,7,500
Random Forest,1.0,0.9560439560439562,1.0,0.9294117647058824,8,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,8,100
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,8,150
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,8,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,8,250
Random Forest,1.0,0.964835164835165,1.0,0.9411764705882353,8,300
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,8,350
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,8,400
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,8,450
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,8,500
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,9,50
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,9,100
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,9,150
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,9,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,9,250
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,9,300
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,9,350
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,9,400
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,9,450
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,9,500
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,10,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,10,100
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,10,150
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,10,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,10,250
Random Forest,1.0,0.964835164835165,1.0,0.9411764705882353,10,300
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,10,350
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,10,400
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,10,450
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,10,500
Random Forest,1.0,0.9582417582417584,1.0,0.9352941176470588,11,50
Random Forest,1.0,0.9604395604395606,1.0,0.9352941176470588,11,100
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,11,150
Random Forest,1.0,0.9626373626373628,1.0,0.9470588235294117,11,200
Random Forest,1.0,0.9626373626373628,1.0,0.9411764705882353,11,250
Random Forest,1.0,0.964835164835165,1.0,0.9411764705882353,11,300
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,11,350
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,11,400
Random Forest,1.0,0.9604395604395606,1.0,0.9411764705882353,11,450
