model,mean_train_accuracy,mean_val_accuracy,mean_train_recall,mean_val_recall,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,3,200
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,3,225
Random Forest,0.9840659340659341,0.9494505494505496,0.9705882352941178,0.9176470588235295,,5,3,250
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,3,275
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,3,300
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235293,0.9294117647058824,,5,5,50
Random Forest,0.9835164835164836,0.9560439560439562,0.9705882352941178,0.9294117647058824,,5,5,75
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,5,100
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235295,0.9294117647058824,,5,5,125
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,5,150
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,5,175
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,5,200
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,5,225
Random Forest,0.9840659340659341,0.9494505494505496,0.9705882352941178,0.9176470588235295,,5,5,250
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,5,275
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,5,300
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235293,0.9294117647058824,,5,7,50
Random Forest,0.9835164835164836,0.9560439560439562,0.9705882352941178,0.9294117647058824,,5,7,75
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,7,100
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235295,0.9294117647058824,,5,7,125
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,7,150
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,7,175
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,7,200
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,7,225
Random Forest,0.9840659340659341,0.9494505494505496,0.9705882352941178,0.9176470588235295,,5,7,250
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,7,275
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,7,300
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235293,0.9294117647058824,,5,10,50
Random Forest,0.9835164835164836,0.9560439560439562,0.9705882352941178,0.9294117647058824,,5,10,75
Random Forest,0.982967032967033,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,10,100
Random Forest,0.9824175824175825,0.9560439560439562,0.9676470588235295,0.9294117647058824,,5,10,125
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,10,150
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,10,175
Random Forest,0.9840659340659341,0.9582417582417584,0.9705882352941178,0.9352941176470588,,5,10,200
Random Forest,0.9840659340659341,0.9560439560439562,0.9705882352941178,0.9352941176470588,,5,10,225
Random Forest,0.9840659340659341,0.9494505494505496,0.9705882352941178,0.9176470588235295,,5,10,250
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,10,275
Random Forest,0.9835164835164836,0.9494505494505496,0.9691176470588235,0.9176470588235295,,5,10,300
Random Forest,0.9780219780219779,0.953846153846154,0.948529411764706,0.9117647058823529,3,1,2,50
Random Forest,0.9835164835164836,0.953846153846154,0.9617647058823529,0.9235294117647059,3,1,2,75
Random Forest,0.9835164835164836,0.9560439560439562,0.9617647058823529,0.9235294117647059,3,1,2,100
Random Forest,0.982967032967033,0.9516483516483518,0.9602941176470589,0.9176470588235295,3,1,2,125
Random Forest,0.9824175824175825,0.953846153846154,0.9588235294117646,0.9235294117647059,3,1,2,150
Random Forest,0.9818681318681319,0.9516483516483518,0.9573529411764706,0.9176470588235295,3,1,2,175
Random Forest,0.9818681318681319,0.9516483516483518,0.9573529411764706,0.9176470588235295,3,1,2,200
Random Forest,0.9818681318681319,0.9494505494505496,0.9573529411764706,0.9176470588235295,3,1,2,225
Random Forest,0.9824175824175825,0.9494505494505496,0.9588235294117646,0.9176470588235295,3,1,2,250
Random Forest,0.9818681318681319,0.9494505494505496,0.9573529411764706,0.9176470588235295,3,1,2,275
Random Forest,0.9818681318681319,0.9472527472527474,0.9573529411764706,0.911764705882353,3,1,2,300
Random Forest,0.9785714285714284,0.9560439560439562,0.95,0.9117647058823529,3,1,3,50
Random Forest,0.9835164835164836,0.9516483516483518,0.9617647058823529,0.9176470588235295,3,1,3,75
